ICAO24,Country,Tail Number,Model
a041b1,United States,N1154G,172S
a043ad,United States,N116ND,PA-28-161
a06947,United States,N12545,172M
a1b247,United States,N2081S,172S
a1e99f,United States,N222ND,PA-28-161
a2400b,United States,N244ND,PA-28-161
a1695b,United States,N190ND,PA-44-180
a22768,United States,N238ND,PA-28-161
a23ecf,United States,N2439Z,172S
a25a53,United States,N2503V,PA-38-112
a2ba3f,United States,N275ND,PA-28-161
a2bdf6,United States,N276ND,PA-28-161
a22b1f,United States,N239ND,PA-28-161
a2529e,United States,N249ND,PA-28-161
a2cf2b,United States,N280ND,PA-28R-201
a2d2e2,United States,N281ND,PA-28R-201
a2802d,United States,N260ND,PA-28-161
a28b52,United States,N263ND,PA-28-161
a29a2e,United States,N267ND,PA-28-161
a40178,United States,N3572M,PA-28-161
a3dfd5,United States,N349ME,172S
a5a1d3,United States,N462JB,182T
a3e5eb,United States,N350ML,PA-28-181
a55d36,United States,N445AF,172R
a734d4,United States,N5633D,F33A
a6066b,United States,N488BA,172N
aa23ea,United States,N75202,PA-28-151
ab15b1,United States,N813ND,PA-28R-201
a930ce,United States,N6910J,PA-28-151
ab1968,United States,N814ND,PA-28R-201
abaff6,United States,N852ND,PA-44-180
acdb2f,United States,N92747,172M
acb702,United States,N9182A,PA-38-112
